Folder,Total Files,Total Duration (sec),Target Samples,"Samples [0, 1)","Samples [1, 5)","Samples [5, 10)","Samples [10, 15)","Samples [15, 20)","Samples [20, 25)","Samples [25, 30)",Samples [30+)
collect/NCTB/AmarBanglaBoiClass1,361,921.27,1,0,1,0,0,0,0,0,0
collect/NCTB/AmarBanglaBoiClass2,469,1571.17,1,0,1,0,0,0,0,0,0
collect/NCTB/AmarBanglaBoiClass3,670,2426.38,1,0,1,0,0,0,0,0,0
collect/NCTB/AmarBanglaBoiClass4,834,2965.15,1,0,1,0,0,0,0,0,0
collect/NCTB/AmarBanglaBoiClass5,874,3282.57,1,0,1,0,0,0,0,0,0
collect/NCTB/AmarBanglaBoiClass6,564,2506.75,1,0,1,0,0,0,0,0,0
collect/NCTB/AmarBanglaBoiClass7,1037,4131.39,1,1,0,0,0,0,0,0,0
collect/NCTB/AmarBanglaBoiClass8,1101,4679.75,1,0,1,0,0,0,0,0,0
collect/NCTB/AnandaPathClass8,550,2618.37,1,0,1,0,0,0,0,0,0
collect/NCTB/BanglaBeyakaronONirmirtiClass8,1237,5371.85,1,1,0,0,0,0,0,0,0
collect/NCTB/BanglaGrammerClass9,1874,7777.92,1,1,0,0,0,0,0,0,0
collect/NCTB/BanglaSahoPathClass9,958,3552.78,1,0,1,0,0,0,0,0,0
collect/NCTB/BangladeshOBishwoPorichoyClass5,579,2623.83,1,0,1,0,0,0,0,0,0
collect/NCTB/BangladeshOBishwoporichoyClass3,452,1622.29,1,0,1,0,0,0,0,0,0
collect/NCTB/BangladeshOBishwoporichoyClass4,531,2200.34,1,0,1,0,0,0,0,0,0
collect/NCTB/BangladeshOBishwoporichoyClass8DaisyMutimedia,987,5519.99,1,0,1,0,0,0,0,0,0
collect/NCTB/BangladeshOBishwoporichoyClass9,1043,5874.28,1,0,1,0,0,0,0,0,0
collect/NCTB/BangladeshOBishwosobhotaClass9,1689,8819.7,1,0,1,0,0,0,0,0,0
collect/NCTB/BhugolOPoribeshClass9,1434,8431.78,1,0,1,0,0,0,0,0,0
collect/NCTB/BigganClass3,483,2114.48,1,0,1,0,0,0,0,0,0
collect/NCTB/BigganClass4,694,3153.48,1,0,1,0,0,0,0,0,0
collect/NCTB/BigganClass5,628,3126.67,1,0,1,0,0,0,0,0,0
collect/NCTB/BuddhaDharmaClass3,646,2072,1,0,1,0,0,0,0,0,0
collect/NCTB/BuddhaDharmaClass4,809,2947.1,1,0,1,0,0,0,0,0,0
collect/NCTB/BuddhaDharmaClass7,211,1032.71,1,0,1,0,0,0,0,0,0
collect/NCTB/CareerEducationClass9,660,3188.54,1,0,1,0,0,0,0,0,0
