folder,rel_path,full_path,duration_sec,bucket
collect/NCTB/AmarBanglaBoiClass1,collect\NCTB\AmarBanglaBoiClass1\cb6af886-8bc5-40aa-9be7-39d31cafe9b1.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/AmarBanglaBoiClass1\cb6af886-8bc5-40aa-9be7-39d31cafe9b1.flac,5.1,"[5, 10)"
collect/NCTB/AmarBanglaBoiClass2,collect\NCTB\AmarBanglaBoiClass2\2f3bb1cb-82e6-4dd3-a57e-f80331d80571.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/AmarBanglaBoiClass2\2f3bb1cb-82e6-4dd3-a57e-f80331d80571.flac,15.299,"[15, 20)"
collect/NCTB/AmarBanglaBoiClass3,collect\NCTB\AmarBanglaBoiClass3\1031fce3-794e-4270-b31c-0837a3911e61.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/AmarBanglaBoiClass3\1031fce3-794e-4270-b31c-0837a3911e61.flac,19.18,"[15, 20)"
collect/NCTB/AmarBanglaBoiClass4,collect\NCTB\AmarBanglaBoiClass4\134717c2-9e53-4f33-b982-fcc0ac5aa2a1.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/AmarBanglaBoiClass4\134717c2-9e53-4f33-b982-fcc0ac5aa2a1.flac,18.82,"[15, 20)"
collect/NCTB/AmarBanglaBoiClass5,collect\NCTB\AmarBanglaBoiClass5\4522a593-8d5f-41ae-ba8b-9e28cb328fc8.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/AmarBanglaBoiClass5\4522a593-8d5f-41ae-ba8b-9e28cb328fc8.flac,33.457,[30+)
collect/NCTB/AmarBanglaBoiClass6,collect\NCTB\AmarBanglaBoiClass6\fe0de828-1391-4a81-bf83-f76f01a6568b.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/AmarBanglaBoiClass6\fe0de828-1391-4a81-bf83-f76f01a6568b.flac,34.599,[30+)
collect/NCTB/AmarBanglaBoiClass7,collect\NCTB\AmarBanglaBoiClass7\b95d27a0-f7a7-4810-9ca6-106c9f1536af.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/AmarBanglaBoiClass7\b95d27a0-f7a7-4810-9ca6-106c9f1536af.flac,25.554,"[25, 30)"
collect/NCTB/AmarBanglaBoiClass8,collect\NCTB\AmarBanglaBoiClass8\243a5f77-b436-4171-9c04-8b3f231b35bb.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/AmarBanglaBoiClass8\243a5f77-b436-4171-9c04-8b3f231b35bb.flac,30.324,[30+)
collect/NCTB/AnandaPathClass8,collect\NCTB\AnandaPathClass8\439a36ce-fc81-431f-84b6-2995f43f4b4a.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/AnandaPathClass8\439a36ce-fc81-431f-84b6-2995f43f4b4a.flac,20.361,"[20, 25)"
collect/NCTB/BanglaBeyakaronONirmirtiClass8,collect\NCTB\BanglaBeyakaronONirmirtiClass8\e7a80860-d174-4c44-bd62-aee85acb6792.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BanglaBeyakaronONirmirtiClass8\e7a80860-d174-4c44-bd62-aee85acb6792.flac,22.21,"[20, 25)"
collect/NCTB/BanglaGrammerClass9,collect\NCTB\BanglaGrammerClass9\7d0bda6a-420d-4cd0-8649-12d9c18463f2.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BanglaGrammerClass9\7d0bda6a-420d-4cd0-8649-12d9c18463f2.flac,31.612,[30+)
collect/NCTB/BanglaSahoPathClass9,collect\NCTB\BanglaSahoPathClass9\36733354-3874-48aa-891e-0d4c21b1217d.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BanglaSahoPathClass9\36733354-3874-48aa-891e-0d4c21b1217d.flac,27.109,"[25, 30)"
collect/NCTB/BangladeshOBishwoPorichoyClass5,collect\NCTB\BangladeshOBishwoPorichoyClass5\5b140e6c-f4cf-421d-98f2-4b0bfb47d017.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BangladeshOBishwoPorichoyClass5\5b140e6c-f4cf-421d-98f2-4b0bfb47d017.flac,15.42,"[15, 20)"
collect/NCTB/BangladeshOBishwoporichoyClass3,collect\NCTB\BangladeshOBishwoporichoyClass3\ee90b403-0bfa-4a43-9fe9-f78afca9f49b.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BangladeshOBishwoporichoyClass3\ee90b403-0bfa-4a43-9fe9-f78afca9f49b.flac,17.746,"[15, 20)"
collect/NCTB/BangladeshOBishwoporichoyClass4,collect\NCTB\BangladeshOBishwoporichoyClass4\ef81fb05-fcb2-4135-9eeb-db438c6bed4b.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BangladeshOBishwoporichoyClass4\ef81fb05-fcb2-4135-9eeb-db438c6bed4b.flac,25.09,"[25, 30)"
collect/NCTB/BangladeshOBishwoporichoyClass8DaisyMutimedia,collect\NCTB\BangladeshOBishwoporichoyClass8DaisyMutimedia\3b6c2d8a-61ef-4c39-a04b-9ebcda2e4b62.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BangladeshOBishwoporichoyClass8DaisyMutimedia\3b6c2d8a-61ef-4c39-a04b-9ebcda2e4b62.flac,32.11,[30+)
collect/NCTB/BangladeshOBishwoporichoyClass9,collect\NCTB\BangladeshOBishwoporichoyClass9\27931299-16b4-4f62-a642-0e92a9ead54b.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BangladeshOBishwoporichoyClass9\27931299-16b4-4f62-a642-0e92a9ead54b.flac,27.179,"[25, 30)"
collect/NCTB/BangladeshOBishwosobhotaClass9,collect\NCTB\BangladeshOBishwosobhotaClass9\dabde072-9035-48af-8ca3-2a51a1d8db39.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BangladeshOBishwosobhotaClass9\dabde072-9035-48af-8ca3-2a51a1d8db39.flac,30.914,[30+)
collect/NCTB/BhugolOPoribeshClass9,collect\NCTB\BhugolOPoribeshClass9\4ad019e0-050c-4bac-b142-201d4fc2aa56.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BhugolOPoribeshClass9\4ad019e0-050c-4bac-b142-201d4fc2aa56.flac,34.497,[30+)
collect/NCTB/BigganClass3,collect\NCTB\BigganClass3\77816d95-567f-44d9-9574-2a306de7838f.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BigganClass3\77816d95-567f-44d9-9574-2a306de7838f.flac,15.49,"[15, 20)"
collect/NCTB/BigganClass4,collect\NCTB\BigganClass4\a016fee2-8b82-4b2b-90cc-67ac5df1f66f.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BigganClass4\a016fee2-8b82-4b2b-90cc-67ac5df1f66f.flac,22.603,"[20, 25)"
collect/NCTB/BigganClass5,collect\NCTB\BigganClass5\776dfe22-1a43-4356-901d-9545ecaf5e25.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BigganClass5\776dfe22-1a43-4356-901d-9545ecaf5e25.flac,20.854,"[20, 25)"
collect/NCTB/BuddhaDharmaClass3,collect\NCTB\BuddhaDharmaClass3\a0468571-ea47-4669-afec-dae8b9c7e0a3.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BuddhaDharmaClass3\a0468571-ea47-4669-afec-dae8b9c7e0a3.flac,15.4,"[15, 20)"
collect/NCTB/BuddhaDharmaClass4,collect\NCTB\BuddhaDharmaClass4\16d2e63a-8b0c-454e-bdec-e895f4996d32.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BuddhaDharmaClass4\16d2e63a-8b0c-454e-bdec-e895f4996d32.flac,16.25,"[15, 20)"
collect/NCTB/BuddhaDharmaClass7,collect\NCTB\BuddhaDharmaClass7\1e13a0d0-c48a-4c77-91dc-0e17c559d341.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/BuddhaDharmaClass7\1e13a0d0-c48a-4c77-91dc-0e17c559d341.flac,13.92,"[10, 15)"
collect/NCTB/CareerEducationClass9,collect\NCTB\CareerEducationClass9\41ae0f2b-cabb-4032-b8ec-ebef70afcbeb.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/CareerEducationClass9\41ae0f2b-cabb-4032-b8ec-ebef70afcbeb.flac,15.225,"[15, 20)"
collect/NCTB/CharuOKarokolaClass8,collect\NCTB\CharuOKarokolaClass8\1aa67aa8-cb3e-44df-8228-c80f55fe88f0.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/CharuOKarokolaClass8\1aa67aa8-cb3e-44df-8228-c80f55fe88f0.flac,30.708,[30+)
collect/NCTB/CharuOKarukolaClass9,collect\NCTB\CharuOKarukolaClass9\ceca17b3-a213-49ae-9542-f9a7753261bc.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/CharuOKarukolaClass9\ceca17b3-a213-49ae-9542-f9a7753261bc.flac,25.33,"[25, 30)"
collect/NCTB/ChristanDharmaClass6,collect\NCTB\ChristanDharmaClass6\9a427ca5-005a-49d7-8acb-71c2fb92bc8e.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ChristanDharmaClass6\9a427ca5-005a-49d7-8acb-71c2fb92bc8e.flac,18.437,"[15, 20)"
collect/NCTB/ChristanDharmaClass7,collect\NCTB\ChristanDharmaClass7\68a00740-0574-4fa7-9791-8c0125b1d15a.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ChristanDharmaClass7\68a00740-0574-4fa7-9791-8c0125b1d15a.flac,13.026,"[10, 15)"
collect/NCTB/ChristianDharmaClass3,collect\NCTB\ChristianDharmaClass3\5170212f-8323-4a35-a3e1-fe3ff0a20e92.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ChristianDharmaClass3\5170212f-8323-4a35-a3e1-fe3ff0a20e92.flac,20.26,"[20, 25)"
collect/NCTB/ChristianDharmaClass4,collect\NCTB\ChristianDharmaClass4\2818820a-e63b-4962-8f7e-291f4f8037cd.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ChristianDharmaClass4\2818820a-e63b-4962-8f7e-291f4f8037cd.flac,31.354,[30+)
collect/NCTB/ChristianDharmaClass5,collect\NCTB\ChristianDharmaClass5\c38a2f2a-ed4d-4292-909f-20667a9f6728.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ChristianDharmaClass5\c38a2f2a-ed4d-4292-909f-20667a9f6728.flac,20.99,"[20, 25)"
collect/NCTB/DigitalTechnologyClass6,collect\NCTB\DigitalTechnologyClass6\c7a77926-2f35-4db2-81fa-47769a0de708.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/DigitalTechnologyClass6\c7a77926-2f35-4db2-81fa-47769a0de708.flac,31.537,[30+)
